dim,gap_type,approach,auroc,fpr95,aupr,spearman,aurc,oracle_aurc,jsd,mi,nlpd,brier
10,empty,standard_disagreement,0.17388746031746033,0.9846666666666667,0.19238210981738943,-0.02597807052634303,0.320163984644315,0.1444658147863069,0.4631685405684915,0.4502619924660004,0.9095095446585487,0.34051595121551226
10,sparse,distance_evidential,0.2244973015873016,0.9231904761904761,0.21555044556439903,0.24251623211623213,0.20903772262042755,0.09411003006434528,0.5151008096977041,0.509414125567676,1.0327137376649236,0.3854559031080664
10,sparse,standard_disagreement,0.09404888888888889,0.9966190476190476,0.17840536724973627,0.34035632035632035,0.18899307629002202,0.09411003006434528,0.5994171308443051,0.5854249274221529,0.774269181493479,0.3663242121969469
11,empty,distance_evidential,0.35282714285714284,0.8870000000000001,0.22384649607066015,0.27554048834048833,0.23646153627985353,0.0823914140933585,0.1891866399863757,0.16779167775098522,1.3107907920770736,0.25978772900422425
11,empty,standard_disagreement,0.1863209523809524,0.9885714285714287,0.18812612374734272,0.25185863745863746,0.2439664543971553,0.0823914140933585,0.29104039899581335,0.26811096316622457,1.2542416094923392,0.28052550896453426
11,sparse,distance_evidential,0.20540285714285714,0.9987142857142857,0.19938484553645477,0.2786379266379267,0.2307095684923844,0.08350134419088327,0.2946514167562363,0.29691040020195286,1.3000337597064096,0.26895189681077547
11,sparse,standard_disagreement,0.33202000000000004,0.9755714285714285,0.2268328760925614,0.322793855993856,0.21608560315319097,0.08350134419088327,0.12593484871823898,0.11397838465703758,1.218726484022054,0.2572935671710884
12,empty,distance_evidential,0.3402895238095238,0.8771428571428572,0.22072182791953393,0.2733603561603562,0.20721247047943817,0.07161267272383648,0.20921535664349422,0.18579974517218578,1.3048024769440643,0.24072399057696722
12,empty,standard_disagreement,0.15401666666666666,0.9922857142857143,0.1831689497365911,0.27082091482091486,0.20714800965122585,0.07161267272383648,0.3410215419137944,0.3174229593311304,1.21224845377485,0.2825957505611743
12,sparse,distance_evidential,0.1089347619047619,0.9997142857142857,0.17761424668875286,0.2715594723594724,0.2043941620105251,0.07382334177933332,0.45851943208516355,0.4597035381421669,1.2950464795725771,0.2531769517718625
12,sparse,standard_disagreement,0.23339619047619048,0.9901428571428571,0.19768866233737542,0.30850684930684935,0.19502127403515196,0.07382334177933332,0.22372044018363732,0.20350449937344886,1.2051745391601427,0.27113529778313206
13,empty,distance_evidential,0.3790952380952381,0.8395714285714286,0.23166529125142038,0.23758746838746841,0.21356058951631646,0.06813731385605531,0.18665766605307954,0.16548616448820436,1.3303425867445706,0.23109271876217838
13,empty,standard_disagreement,0.15855666666666668,0.9965714285714287,0.18361268995896088,0.21461903621903625,0.22311892900107497,0.06813731385605531,0.32381646889135773,0.30559106566588806,1.3453004518396134,0.2810263097093594
13,sparse,distance_evidential,0.14572000000000002,0.9994285714285714,0.18632628693925773,0.2094832170832171,0.2181557877244086,0.0705824867298585,0.4074279512800295,0.4030939450037253,1.3205624599091823,0.24399944208060892
13,sparse,standard_disagreement,0.29293857142857144,0.9708571428571429,0.21428648000981454,0.2592495540495541,0.2011741951830634,0.0705824867298585,0.18578157583237234,0.16560715005698876,1.2801029264893398,0.26481330033273603
