dim,gap_type,approach,auroc,auroc,aupr,aupr,spearman,spearman,aurc,aurc,oracle_aurc,oracle_aurc,jsd,jsd,mi,mi,brier,brier,nlpd,nlpd
,,,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem
2,empty,standard_disagreement,0.7047669438145628,0.06479045337033393,0.6616754358238565,0.06990615642167652,0.21609677857734266,0.049718202325431324,0.10960458123257567,0.0045629803117640585,0.058103428697851095,0.003867906457810843,0.5291298916235988,0.042623276290635094,0.5266811935796356,0.04361939795726913,0.17677968387466128,0.01723652211675143,-0.0646995059663077,0.053183137869104065
2,empty,standard_proximity,0.6330144620811288,0.055396889658586565,0.4732916857977888,0.053564163153489816,0.14763380314208296,0.05368057892715933,0.11502980640904639,0.004734298520100964,0.058103428697851095,0.003867906457810843,0.43530411465382857,0.0446776623440149,0.4122506620843837,0.044364436092794474,0.3415034461001179,0.015455031755528807,0.035348896975688146,0.05407262186137885
2,sparse,chen_variance,0.712982212144117,0.06812734306405309,0.6611039866828134,0.07167723364717551,0.09124155421782218,0.011698372060281426,0.09452922346663002,0.003813908179322666,0.045630901012594774,0.0019787842899055396,0.4775271656667772,0.0347084355666443,0.47299548826877585,0.037415854323394025,0.17519938492008033,0.018015178251227087,-0.1368914787293579,0.04154015302823598
2,sparse,likelihood_credal,0.6747833711262283,0.07550558934644412,0.6331019904220623,0.07030765059128322,0.10010116401274717,0.012181509918247006,0.09370712001047755,0.0036227420717732956,0.045630901012594774,0.0019787842899055396,0.5041033993452594,0.023839103415807514,0.4915699713689066,0.025982635402943585,0.2237403337734868,0.014707273485591144,0.19979580242129483,0.03305404282304985
2,sparse,proximity_auto_lambda,0.6640264046359284,0.04322073441687182,0.48378232595340825,0.04610617999931256,0.05594863685663477,0.01519102020746883,0.09595556277158317,0.0034950702707594655,0.045630901012594774,0.0019787842899055396,0.363022712036661,0.02939784827568161,0.3428624986472703,0.029480954301948064,0.27122561741421075,0.009283918162338456,-0.02192943454558889,0.021342680549758533
2,sparse,proximity_b,0.640236432350718,0.04876613807812187,0.46216176884810745,0.04565177034719754,0.06106904696862337,0.015644734680212373,0.0954607158248292,0.0035013718229566595,0.045630901012594774,0.0019787842899055396,0.4624139873132605,0.028509985525802604,0.44038415744274806,0.028199302809161896,0.2951053434811345,0.009056920941555318,-0.0803758064257116,0.022432848878498453
2,sparse,proximity_bc,0.6738178886369363,0.045355381762980575,0.49322293459437555,0.04717737522099173,0.05837666566962926,0.015091611275815518,0.09568998604426589,0.003516071052050646,0.045630901012594774,0.0019787842899055396,0.3872176132460662,0.03050403299285781,0.36710705983398045,0.030565732417143717,0.27746392206385717,0.00926614974875671,-0.07602265557391791,0.02266968125482257
2,sparse,shaker_entropy,0.7141952128999748,0.07034644441719695,0.6664025662315549,0.07313286259832627,0.091170222968686,0.01202881321577822,0.0944524728682633,0.003841646336492119,0.045630901012594774,0.0019787842899055396,0.5122777485735873,0.03509856516782843,0.5079657715888459,0.03697125710798511,0.17739976954978454,0.01792255465479739,-0.05657050777144171,0.03976137599674497
2,sparse,smac3_variance,0.7137179138321995,0.0685616570098069,0.6645183565402357,0.07230118660427412,0.09202152124520031,0.011483054009508064,0.09439454683766595,0.0038520109783066084,0.045630901012594774,0.0019787842899055396,0.48381007373395707,0.03547381133589996,0.48037825306556053,0.03801815442002499,0.17438712624796615,0.018185013755203264,-0.13724404544290114,0.0414517840921195
2,sparse,standard_disagreement,0.7137179138321995,0.0685616570098069,0.6645183565402357,0.07230118660427412,0.09202152124520031,0.011483054009508064,0.09439454683766595,0.0038520109783066084,0.045630901012594774,0.0019787842899055396,0.48381007373395707,0.03547381133589996,0.48037825306556053,0.03801815442002499,0.17438712624796676,0.018185013755203528,-0.13724404544290236,0.04145178409211975
2,sparse,standard_proximity,0.6501442176870749,0.051990964560350905,0.46683275375316036,0.0477572130749727,0.0706762239408152,0.01412449392202232,0.09540544531795273,0.003600767772250756,0.045630901012594774,0.0019787842899055396,0.37322884925079475,0.04037120101145694,0.3524505925095501,0.04049595389226881,0.3546272198518927,0.009059799063968879,-0.08363037436944609,0.02330417154473461
3,empty,chen_variance,0.4062295288485765,0.09703471052463793,0.3911178853367915,0.06028453132132058,0.025299234453175577,0.03537759773614614,0.12400662097954471,0.007167598920129642,0.057784593037325784,0.0023984967212106662,0.41397554718063384,0.056212142817194555,0.4008317800190468,0.05329512293065803,0.2605216980319132,0.02273384780717614,0.06166613990607401,0.00560328729380174
3,empty,likelihood_credal,0.3665054169816075,0.08202212646077975,0.31540496972545606,0.03867925461043279,0.026818549359260997,0.027856099814554374,0.12343326038908942,0.006519596633325945,0.057784593037325784,0.0023984967212106662,0.38709343295324944,0.07002150600076007,0.3678576912164549,0.06727767262511425,0.29311718090587785,0.016796861185095137,0.26769836670379504,0.008361143974904481
3,empty,proximity_auto_lambda,0.2779176114890401,0.04159827122162352,0.21741455233573034,0.008333212255912086,-0.016288832906087094,0.01282060623835062,0.12578858648764527,0.005028082167965609,0.057784593037325784,0.0023984967212106662,0.3426999710152724,0.05854653930918709,0.31947054174943273,0.05648034588253207,0.3085255985387135,0.011274952574633467,0.04363121328203569,0.01494625559859789
3,empty,proximity_b,0.2719559922734526,0.0375759931728324,0.21491547220379956,0.007170799584292794,-0.004057419644968416,0.014234184687238543,0.12475905418673265,0.004845959906849432,0.057784593037325784,0.0023984967212106662,0.36277667026024935,0.05285899587641449,0.33540328174563555,0.05041762772970197,0.3146433692475205,0.00992320187268691,-0.009944608862460303,0.01626865169876196
3,empty,proximity_bc,0.27682161753590323,0.04114469219637477,0.21690667644394515,0.008194670052573606,-0.006072704071597378,0.014015094934495792,0.12502565083069983,0.005064937026223394,0.057784593037325784,0.0023984967212106662,0.3390405539959449,0.05586494403910026,0.3141712249646722,0.053546624814162926,0.31053690206519224,0.010055002171553088,-0.01000134186070076,0.015802090654837116
3,empty,shaker_entropy,0.38665364911396655,0.09215842959203963,0.3635237882520414,0.05256567118091782,0.01825553696367298,0.03286246061215945,0.12436740875563553,0.006963931786028949,0.057784593037325784,0.0023984967212106662,0.40529192605633135,0.06452439688830128,0.39301965477307965,0.061886255454312956,0.27612860164190217,0.022016866255558418,0.12128283109962472,0.005714756780643701
3,empty,smac3_variance,0.4057688754514151,0.09764136079492497,0.39371756917529316,0.06108029105686894,0.025139958435308116,0.03549378152790312,0.12395713598858923,0.007179091501819625,0.057784593037325784,0.0023984967212106662,0.4220087551561938,0.05560223520704771,0.41133287006624997,0.05282882713027297,0.2654206860936128,0.023795425373256383,0.06107054691605895,0.005423206485679144
3,empty,standard_disagreement,0.4057688754514151,0.09764136079492497,0.39371756917529316,0.06108029105686894,0.025139958435308116,0.03549378152790312,0.12395713598858923,0.007179091501819625,0.057784593037325784,0.0023984967212106662,0.4220087551561938,0.05560223520704771,0.41133287006624997,0.05282882713027297,0.2654206860936146,0.02379542537325684,0.061070546916057546,0.0054232064856790645
3,empty,standard_proximity,0.254389854707315,0.03956967023087702,0.21186678202964154,0.007359073064846014,0.0014919483314276576,0.017746015636922758,0.12441076677694209,0.005377957881881915,0.057784593037325784,0.0023984967212106662,0.3890150546685705,0.05190678705960918,0.35851509349603866,0.05037516225636936,0.3425121029634194,0.010622704717515839,-0.004407969690777726,0.01771978056121241
3,sparse,chen_variance,0.4046098933400521,0.09510373903232897,0.3250829437525918,0.04274588312255067,0.14449038482731466,0.019773634996759208,0.09367639096199183,0.0008563833574431284,0.04654186961595012,0.0009901842615950267,0.40102831572860215,0.05109486196945541,0.38044631166737564,0.05015273993119269,0.26469047286258424,0.019498705869685554,0.015547458994316577,0.004350764631610746
3,sparse,likelihood_credal,0.3729864785420341,0.09113728645907751,0.2956341483544888,0.034636331094986345,0.15890749980055877,0.021286249239529723,0.0928312045216247,0.0008244957142723806,0.04654186961595012,0.0009901842615950267,0.4407016022244848,0.0674267693886432,0.41690367937232115,0.06571980621949579,0.298937471976816,0.01853956066554038,0.24318298911917982,0.0034669951133773284
3,sparse,proximity_auto_lambda,0.35515159150079784,0.06106695122307368,0.258819113312277,0.02859556922311044,0.12409001650729153,0.022018251737569685,0.09591039923098435,0.000991896108541968,0.04654186961595012,0.0009901842615950267,0.3332018433594838,0.05389207950963184,0.3049379716401858,0.04999674952861096,0.3035267202529518,0.010939785133987065,0.02320770637203366,0.01138759015780084
3,sparse,proximity_b,0.336676324850928,0.06006333219848649,0.24845029282705763,0.024148933645155565,0.13524079509906267,0.02137815639851939,0.09497554106599436,0.0009141513625476964,0.04654186961595012,0.0009901842615950267,0.42729150958046885,0.06442249460260957,0.39988973710069475,0.06167538472530699,0.3151004766817954,0.010957495110195342,-0.03616222964687819,0.011945966433050237
