func_name,dim,noise_name,rf_config,seed,approach,spearman_true,spearman_resid,log_pearson_true,mse_var,rmse_var,nlpd_aleatoric
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,3,shaker_geom_std,,,,0.06200099999999998,0.24899999999999997,123.82640625577703
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,3,standard_ari_var,,,,0.06249950000100001,0.24999900000000003,126355.35654531856
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,3,standard_ari_std,,,,0.06200099999999998,0.24899999999999997,123.82640625577783
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,4,shaker_entropy,,,,66.72747506903578,8.16868869948144,12871816.310176067
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,4,shaker_geom_var,,,,0.06249950000100001,0.24999900000000003,128712.25719903191
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,4,shaker_geom_std,,,,0.06200099999999998,0.24899999999999997,126.18330690949199
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,4,standard_ari_var,,,,0.06249950000100001,0.24999900000000003,128712.25719903353
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,4,standard_ari_std,,,,0.06200099999999998,0.24899999999999997,126.18330690949279
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,5,shaker_entropy,,,,66.72747506903578,8.16868869948144,12800867.36585838
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,5,shaker_geom_var,,,,0.06249950000100001,0.24999900000000003,128002.76775585505
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,5,shaker_geom_std,,,,0.06200099999999998,0.24899999999999997,125.47381746631513
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,5,standard_ari_var,,,,0.06249950000100001,0.24999900000000003,128002.76775585666
sin_cos_9d_homoscedastic_high_RF_Overfit,9,Overfit,Leaf1,5,standard_ari_std,,,,0.06200099999999998,0.24899999999999997,125.47381746631592
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,1,shaker_entropy,,,,0.6199161903950949,0.7873475664502272,1.0617544453541914
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,1,shaker_geom_var,,,,2.5816092058556367e-05,0.005080953853220512,0.7428712591708526
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,1,shaker_geom_std,,,,0.06083648579044251,0.24665053373232848,0.8290814290723054
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,1,standard_ari_var,,,,1.656429488154534e-05,0.004069925660444591,0.7427642150480349
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,1,standard_ari_std,,,,0.06113009639758967,0.24724501288719591,0.8293680145616115
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,2,shaker_entropy,,,,0.633256608004184,0.7957742192382108,1.0634647348912543
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,2,shaker_geom_var,,,,1.0868103764171993e-05,0.003296680719173756,0.7370254467034076
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,2,shaker_geom_std,,,,0.06227768193109259,0.24955496775478664,0.8276550547114072
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,2,standard_ari_var,,,,6.955303903307837e-06,0.0026372910160442735,0.73691686111984
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,2,standard_ari_std,,,,0.06254611457200411,0.2500922121378515,0.8279049090680657
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,3,shaker_entropy,,,,0.6224097710004861,0.7889295095257156,1.0563905687684425
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,3,shaker_geom_var,,,,2.4436293444606546e-05,0.0049433079455569575,0.717912307579504
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,3,shaker_geom_std,,,,0.061106680520720734,0.2471976547637957,0.8169597890080853
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,3,standard_ari_var,,,,1.5204272656479946e-05,0.003899265656053707,0.7178851333113978
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,3,standard_ari_std,,,,0.06135387297643738,0.24769713962102466,0.8172210309680722
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,4,shaker_entropy,,,,0.6148724141077424,0.7841380070547164,1.0568123755227627
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,4,shaker_geom_var,,,,4.7422544601093234e-05,0.006886402878215392,0.7273637294466595
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,4,shaker_geom_std,,,,0.060300699305120234,0.24556200704734482,0.8208131485065147
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,4,standard_ari_var,,,,2.984093279532024e-05,0.005462685492989711,0.7273335462162477
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,4,standard_ari_std,,,,0.060524130656824715,0.2460165251702103,0.821072385648014
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,5,shaker_entropy,,,,0.6338028570433388,0.7961173638624766,1.0609418642968067
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,5,shaker_geom_var,,,,3.2089594467845945e-05,0.005664767821177311,0.7263884564046588
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,5,shaker_geom_std,,,,0.06234944497127736,0.24969870838928535,0.8223232519344275
sin_cos_9d_homoscedastic_high_RF,9,RF,Shallow,5,standard_ari_var,,,,1.9955393865121942e-05,0.004467146053703857,0.7262099688390655
