dimension,stratum,n_experiments,winkler_plcb_mean,winkler_plcb_sem,winkler_slcb_mean,winkler_slcb_sem,winkler_ratio,picp_plcb_mean,picp_plcb_sem,picp_slcb_mean,picp_slcb_sem,auroc_plcb_mean,auroc_plcb_sem,auroc_slcb_mean,auroc_slcb_sem
5,1,320,12.154563334375112,0.6821973222714122,7.30816507382171,0.35080630767913124,0.5087124559901682,0.7267048667711098,0.01126164030535,0.8816464920939591,0.008512291640509033,0.4045822260534656,0.004498238053357982,0.5628700194081816,0.006517102107717981
5,2,320,111.00021519637892,5.710240180063919,90.59941284913046,5.068984412385169,0.2030844076825616,0.24660255273735573,0.014626895963208403,0.4115084612278176,0.021062838432096134,0.4415541668121069,0.006186723627211494,0.5139976227824874,0.007069670089344332
5,3,320,302.05536491490267,14.891163498258472,273.5433664370135,14.407182062299647,0.09915015779980774,0.07535149178093273,0.00672416507094193,0.1951013582232573,0.012835594438025223,0.4673759493465136,0.005621261788476236,0.5453272375431645,0.006395522140949963
5,All,320,119.59432379055811,5.802800907831565,103.748973226716,5.284244477218222,0.14213111799323647,0.3530659375,0.01130362935633417,0.45819656250000007,0.013587323445304278,0.4337256678819445,0.011614906012838579,0.5835508602430556,0.00924350800254698
8,0,320,30.217788219641644,2.8645988179306427,45.9838304430075,3.246631733938729,-0.41985905771005466,0.41080666666666665,0.0341394341723969,0.13119333333333336,0.023239121208909416,0.4871546222222222,0.01774191736273335,0.5996751061728395,0.020243560652505387
8,1,320,10.221011615867848,0.5294138813964495,6.741027113682458,0.28433793081005626,0.4162332597490758,0.7730649998062044,0.01040968141198861,0.8931484361503695,0.007521597607567464,0.44340509495507197,0.005150031616664907,0.579960672828523,0.004908293709386021
8,2,320,119.12365083171764,6.381966040465357,100.95373327666496,5.8250524116714795,0.16549971074034095,0.2727060711043617,0.016924356704250187,0.39510293357792947,0.021173004428950627,0.4311588232351717,0.004210948704052723,0.510231531105154,0.004630927570371338
8,3,320,323.2193506391641,15.973540929455316,297.2235537661701,15.507325452154548,0.08384663493699994,0.11038574713554199,0.01096169904333399,0.20641846757970775,0.016939807218967946,0.4603321260796102,0.003973209435393419,0.5219690666437957,0.004145139576406923
8,All,320,148.9639889045799,7.412280799461251,135.16068374024476,6.866336910009126,0.09724027095042621,0.3141534375,0.012956886307453445,0.37078625,0.015570506158275089,0.46743858229166674,0.012369207242200657,0.5474579402777777,0.008993998694888311
16,0,320,88.05330402430978,5.799273306121018,119.15750166396901,6.014284112525637,-0.30250380274645094,0.0380375,0.01368981616484891,0.0,0.0,0.4627817833333333,0.016183279556156133,0.5888035500000001,0.020477015312698764
16,1,320,6.15375295698179,0.26630950675089826,4.7952386716112985,0.12429906040505347,0.24943865040912666,0.8742089552238806,0.010985530073344902,0.9362427860696518,0.007998474854822392,0.46149576782752894,0.014575269217591497,0.5805101359867331,0.015214166448513844
16,2,320,141.31482926816528,7.991145775993896,126.36533266945469,7.501528526560742,0.11181305576388231,0.29817493496790864,0.018929811250780162,0.3683515496754083,0.021529868376371112,0.4417170041617897,0.0031893260621112525,0.5146299865291627,0.00203069984805183
16,3,320,366.29828637830735,18.046269839981463,344.371352541184,17.57546191481124,0.06172740326279045,0.15229757779097855,0.015064989467248716,0.21296671100115824,0.020058043063795813,0.45549280962610916,0.003353385164626043,0.51435949738217,0.0020984670180227163
16,All,320,208.11658357110718,10.683302248950465,197.60072485177122,10.121610067813759,0.051849967033800515,0.27590875000000004,0.014512020742729857,0.326043125,0.017371093701996892,0.4992023751736111,0.013452330271628735,0.5101191946180557,0.009650999885738695
32,0,320,187.24401821092442,9.446939901583068,221.3655843206724,9.505292280573592,-0.1674028860674808,0.0,0.0,0.0,0.0,0.41313093333333323,0.016377341174504866,0.5503094000000001,0.020281896741698554
32,1,320,7.2862027518512935,0.23309023939433973,5.781168227659107,0.15803628911129594,0.23137674801973115,0.8731725000000001,0.005306646031068645,0.9237350000000001,0.004290483674043371,0.4679391777777777,0.005350071048258874,0.6628476777777779,0.00252069780356759
32,2,320,181.12891912165574,9.881007690005195,169.77260837553686,9.52657172487051,0.06474909419260448,0.27963567993834,0.019427001428464916,0.31823398164238914,0.021619402096996396,0.4742026640214455,0.0034590968999355758,0.5267075363817254,0.0020784046637960765
32,3,320,464.2067368167236,22.445716410606025,446.74419661140456,22.106692263214335,0.03834384276341249,0.1664364204834713,0.016575212126255404,0.20976286025291188,0.020483028134973588,0.4681402967042196,0.0029915824686391796,0.5161066291811964,0.0017540803864378649
32,All,320,304.8756106115196,15.402315291298017,297.2329060465516,14.9310509303773,0.025387832434847712,0.268320625,0.015290484895172438,0.3052234375,0.017864265276953645,0.5164755550347222,0.012257286822911675,0.5166583967013889,0.009116466030019692
All,0,1920,36.998013432592394,1.9981637424555316,46.75729199078262,2.273131382579656,-0.2341060017919966,0.624763700190377,0.011828567681433423,0.5910736817993643,0.012530125496242462,0.519478290868195,0.006160107759078969,0.6264433451144249,0.006759384094646253
All,1,1920,10.382877074533155,0.2501429156950013,6.434047520306286,0.12287519937839887,0.47855419954212003,0.7659298117512455,0.004515428875599978,0.9042164698011398,0.0031697295220915237,0.4217062507167938,0.0033618522516217957,0.5867120682645934,0.004057394091206982
All,2,1920,128.97418943367558,2.9128060156229405,110.10415869165243,2.7212483839998556,0.15818548746821934,0.25523314903347366,0.006502877721972906,0.39677390071692237,0.008682352477440664,0.45115145068845514,0.0025692375924023215,0.5286959644818838,0.0030371145010648242
