dimension,sampling_strategy,n_experiments,spearman_dist_plcb_mean,spearman_dist_plcb_sem,spearman_dist_slcb_mean,spearman_dist_slcb_sem,spearman_dist_diff_mean,spearman_dist_pvalue,spearman_dist_cliffs_delta,spearman_dist_wins,spearman_dist_ties,spearman_dist_losses,spearman_err_plcb_mean,spearman_err_plcb_sem,spearman_err_slcb_mean,spearman_err_slcb_sem,spearman_err_diff_mean,spearman_err_pvalue,spearman_err_cliffs_delta,spearman_err_wins,spearman_err_ties,spearman_err_losses,picp_error_plcb_mean,picp_error_plcb_sem,picp_error_slcb_mean,picp_error_slcb_sem,picp_error_diff_mean,picp_error_pvalue,picp_error_cliffs_delta,picp_error_wins,picp_error_ties,picp_error_losses,winkler_plcb_mean,winkler_plcb_sem,winkler_slcb_mean,winkler_slcb_sem,winkler_diff_mean,winkler_pvalue,winkler_cliffs_delta,winkler_wins,winkler_ties,winkler_losses,outlier_auroc_plcb_mean,outlier_auroc_plcb_sem,outlier_auroc_slcb_mean,outlier_auroc_slcb_sem,outlier_auroc_diff_mean,outlier_auroc_pvalue,outlier_auroc_cliffs_delta,outlier_auroc_wins,outlier_auroc_ties,outlier_auroc_losses
32,natural,160,-0.09470013303524473,0.003140843305047088,0.012042331770208936,0.0029765211929355965,-0.10674246480545369,5.23953462037631e-28,-0.94703125,0,0,160,-0.05937359027717641,0.006425940145287728,0.03099926034788313,0.003406515365947731,-0.09037285062505954,1.6537658724717128e-23,-0.68203125,22,0,138,0.7542675,0.02694076078412335,0.7163768749999999,0.03197832924114287,0.037890625,8.718642893813159e-15,0.10609375,7,77,76,407.80128964302037,27.147007784136747,390.9505121475559,26.591121615254973,16.85077749546453,1.2836540905697531e-26,0.162265625,4,0,156,0.4702528145833333,0.004121665083317442,0.5188899298611112,0.0022051600996789923,-0.048637115277777775,9.269939260055503e-22,-0.58671875,24,0,136
32,stratified,160,-0.5872560275816421,0.010541493574509637,0.4479693844669139,0.01863944593710981,-1.0352254120485562,5.23953462037631e-28,-0.996171875,0,0,160,0.09479520398324306,0.026316672904649313,0.05654969040621631,0.021723794868628715,0.03824551357702673,0.07120552121081661,0.18359375,79,0,81,0.60909125,0.012085313719327912,0.57319875,0.013902545663782916,0.0358925,1.1469348374791536e-25,0.283828125,10,0,150,201.94993158001884,9.038542203967923,203.51529994554733,8.774038464027315,-1.5653683655284785,0.0010461168345889578,-0.033671875,96,0,64,0.562698295486111,0.02364299651235867,0.5144268635416667,0.018126219970281427,0.04827143194444448,0.03798238906720856,0.182578125,78,0,82
2,All,320,-0.37077267536365577,0.017954674401390397,0.04507668968256921,0.02568479301466329,-0.41584936504622494,4.521742525427911e-43,-0.51361328125,55,0,265,-0.14473959889818827,0.01732229590029738,0.2238105463535404,0.019639073847331046,-0.3685501452517287,6.935756614318926e-36,-0.5651953125,64,0,256,0.4685596875,0.007943624362039017,0.27194718749999996,0.01129944218906317,0.1966125,3.258741356378786e-54,0.52734375,0,0,320,87.57103184393249,4.256880242696448,71.5401070037421,3.8063438879886142,16.030924840190398,3.258866789206682e-54,0.306484375,0,0,320,0.4362821282986111,0.011814836565295462,0.6261252126736111,0.012653745258137197,-0.18984308437500003,7.48029670186088e-32,-0.47548828125,69,0,251
3,All,320,-0.36607099089126094,0.017399138588775148,0.059437395183037055,0.024925025376036504,-0.425508386074298,3.169176770788783e-46,-0.542109375,33,0,287,-0.14216495054044237,0.016591156004538303,0.14872857626667751,0.019154333415180882,-0.2908935268071199,4.0201548348170396e-30,-0.4706640625,74,0,246,0.5355706249999999,0.009023772919490894,0.37522656249999997,0.012183542647528639,0.16034406249999997,8.472992918832579e-53,0.442841796875,3,0,317,98.7933578822238,4.704082633613979,83.08669376224597,4.281655601553195,15.70666411997782,3.289640671845196e-54,0.3941796875,1,0,319,0.42516977968749997,0.011531871460648104,0.6077747206597222,0.011224532997900202,-0.1826049409722222,5.939773247806155e-37,-0.4934375,58,0,262
5,All,320,-0.42446882558963617,0.014623716486239599,0.08383145634398244,0.022908883283659157,-0.5083002819336188,1.130834819600655e-51,-0.6807421875,19,0,301,-0.1211403712550625,0.01635735272167735,0.08101732328786318,0.016979152288304412,-0.20215769454292568,2.0007744628411517e-14,-0.35986328125,98,0,222,0.5969340625,0.01130362935633417,0.49180343749999994,0.01358732344530428,0.105130625,1.6199891777296515e-31,0.30703125,44,0,276,119.59432379055811,5.802800907831565,103.748973226716,5.284244477218222,15.845350563842123,1.4730398918629622e-53,0.22921875,9,0,311,0.4337256678819445,0.011614906012838579,0.5835508602430556,0.00924350800254698,-0.14982519236111108,8.0317833328112e-26,-0.4949609375,71,0,249
8,All,320,-0.44048472603248284,0.013963014626535937,0.1324958534994851,0.020709475099167363,-0.5729805795319679,1.268497220111603e-53,-0.81337890625,8,0,312,-0.09330663131685604,0.01724643221783963,0.05130012282134324,0.015406573189068426,-0.14460675413819926,3.5099674066658106e-09,-0.29056640625,92,0,228,0.6358465624999999,0.012956886307453445,0.5792412499999999,0.015567298905543557,0.056605312500000005,1.1980811318222305e-16,0.10037109375,58,0,262,148.9639889045799,7.412280799461251,135.16068374024476,6.866336910009126,13.803305164335123,1.9711315732497572e-45,0.10453125,46,0,274,0.46743858229166674,0.012369207242200657,0.5474579402777777,0.008993998694888311,-0.08001935798611108,3.202495652107121e-09,-0.3212890625,93,0,227
16,All,320,-0.40065021140213447,0.014555926039390259,0.2081506209334436,0.01712572692447266,-0.608800832335578,3.258866789206682e-54,-0.9357421875,0,0,320,-0.03736172865308938,0.016114561977619936,0.020688294634394987,0.012901683062298663,-0.05805002328748434,9.122026890991563e-05,-0.22109375,93,0,227,0.674193125,0.01449717770773894,0.624009375,0.017365180969644206,0.050183750000000006,6.307206023620332e-43,0.127197265625,20,2,298,208.11658357110718,10.683302248950465,197.60072485177122,10.121610067813759,10.515858719335972,2.4851620449666085e-27,0.05958984375,76,0,244,0.4992023751736111,0.013452330271628735,0.5101191946180557,0.009650999885738695,-0.010916819444444448,0.0009199704301700391,-0.2061328125,93,0,227
32,All,320,-0.34097808030844334,0.014842049474153712,0.23000585811856142,0.015418208138953816,-0.5709839384270048,3.258866789206682e-54,-0.9577734375,0,0,320,0.017710806853033334,0.014195662794387807,0.043774475377049725,0.01100066272561049,-0.026063668524016426,0.00046759112093224767,-0.2064453125,101,0,219,0.6816793750000001,0.015290484895172438,0.6447878125,0.017862992345010813,0.036891562499999996,6.198504044745297e-41,0.0984375,17,77,226,304.8756106115196,15.402315291298017,297.2329060465516,14.9310509303773,7.642704564968025,1.305177536664669e-15,0.04244140625,100,0,220,0.5164755550347222,0.012257286822911675,0.5166583967013889,0.009116466030019692,-0.00018284166666666658,0.003410038448525837,-0.16646484375,102,0,218
All,natural,960,-0.20004391118437936,0.0042121049559402084,-0.04017174921589638,0.006056336465588378,-0.15987216196848297,2.0618361490163002e-133,-0.5336284722222222,84,0,876,-0.16478940444826817,0.00560517587559088,0.020059375033263754,0.007970608091283075,-0.18484877948153192,2.177703132444939e-118,-0.49649739583333335,138,0,822,0.6843630208333332,0.008586213932092048,0.5508487499999999,0.011787713903775927,0.13351427083333334,9.972104835130769e-154,0.19094075520833334,14,79,867,196.70018340567492,7.2322535135375885,177.46372388244956,7.033216223496035,19.236459523225292,2.570578147414119e-157,0.15487413194444444,7,0,953,0.42227547280092587,0.0031493092568061058,0.515698910763889,0.004470016178125581,-0.09342343796296296,2.290197992801204e-102,-0.453564453125,158,0,802
All,stratified,960,-0.5810979253448252,0.00846237157200515,0.29317104046958925,0.014919696523419209,-0.8742689658144146,5.1300895152249724e-157,-0.8179600694444444,31,0,929,-0.0088780868219336,0.011865388351856023,0.1697137378803593,0.010427392320788874,-0.17859182470229282,6.213040515965345e-18,-0.24321180555555555,384,0,576,0.5132314583333333,0.004600969873976282,0.44482312499999993,0.006346436218796365,0.06840833333333333,1.0038635499281977e-78,0.22006293402777777,128,0,832,125.93811546229884,3.187964327146303,118.65963899464099,3.0988222976265902,7.2784764676578595,1.6552411175388965e-84,0.08958984375,225,0,735,0.5038225566550926,0.009379973506785698,0.6148631976273149,0.006972901268936124,-0.11104064097222223,1.50689982200091e-17,-0.19571831597222222,328,0,632
