task,dimension,fid,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/16/17/0,16,17,30,0.2761716743343598,0.41150346221998757,21,9,0,-0.33111111111111113,0.009301122277975082,1.0
bbob/16/17/1,16,17,30,0.5112359219717727,0.5768463288157493,17,13,0,-0.16222222222222227,0.17719271034002304,1.0
bbob/16/17/2,16,17,30,0.37317440866823653,0.5229335624605623,19,10,1,-0.38111111111111107,0.005834181815816049,0.7351069087928221
bbob/16/18/0,16,18,30,0.37058806770496944,0.5156373202603345,23,7,0,-0.38,0.0014574769884347916,0.19821687042713165
bbob/16/18/1,16,18,30,0.3987959483310387,0.4398579813560152,18,10,2,-0.14222222222222225,0.15140120752196698,1.0
bbob/16/18/2,16,18,30,0.39943120409336325,0.5787666790461233,22,8,0,-0.45111111111111113,0.0005548261106014252,0.0771208293735981
bbob/16/19/0,16,19,30,0.3233366677375258,0.5241415995444131,23,6,1,-0.47444444444444445,0.00026894582882669606,0.03792136186456414
bbob/16/19/1,16,19,30,0.33844841559246697,0.4630244089791922,18,12,0,-0.4177777777777778,0.027741437777876854,1.0
bbob/16/19/2,16,19,30,0.41412662154748703,0.5942908800673461,23,7,0,-0.45111111111111113,0.0008718203753232956,0.12031121179461479
bbob/16/2/0,16,2,30,0.4788531036297611,0.4659950806031636,13,16,1,0.036666666666666625,0.6732787363156975,1.0
bbob/16/2/1,16,2,30,0.3313273457302067,0.2847590857017716,11,19,0,0.18666666666666676,0.2621222734451294,1.0
bbob/16/2/2,16,2,30,0.34795924836604997,0.3640226719423423,15,15,0,-0.06444444444444442,0.7000329215079546,1.0
bbob/16/20/0,16,20,30,0.3160370020509175,0.40019008980099985,17,13,0,-0.19111111111111112,0.1459994912147522,1.0
bbob/16/20/1,16,20,30,0.4046541379453698,0.527823936369351,18,12,0,-0.2711111111111111,0.04048972204327583,1.0
bbob/16/20/2,16,20,30,0.3705677792771857,0.544830457191272,19,11,0,-0.35777777777777775,0.019660815596580505,1.0
bbob/16/21/0,16,21,30,0.7981499521384401,0.7756215085532819,14,15,1,0.20777777777777784,0.3811715864506616,1.0
bbob/16/21/1,16,21,30,0.7155618244736388,0.6500327817534566,11,19,0,0.20444444444444443,0.0803273618221283,1.0
bbob/16/21/2,16,21,30,0.7320683654814074,0.761978413172604,13,16,1,-0.005555555555555536,0.9741253092951518,1.0
bbob/16/22/0,16,22,30,0.7953276106672149,0.8085148755849266,13,17,0,0.07777777777777772,0.5978077705949545,1.0
bbob/16/22/1,16,22,30,0.660846878533599,0.6675975128046591,17,13,0,-0.022222222222222254,0.9032264724373817,1.0
bbob/16/22/2,16,22,30,0.6854794265204149,0.6725754025537614,14,16,0,0.11333333333333329,0.4771064817905426,1.0
bbob/16/23/0,16,23,30,0.5894888235383995,0.6094911133706942,13,11,6,-0.026666666666666616,0.5872281657620673,1.0
bbob/16/23/1,16,23,30,0.5494264855453461,0.6271209905206199,15,11,4,-0.17333333333333334,0.10679414793082384,1.0
bbob/16/23/2,16,23,30,0.4394116871262518,0.4126955416678743,7,15,8,0.08666666666666667,0.48517001465180276,1.0
bbob/16/24/0,16,24,30,0.4263796309418561,0.581971922565754,24,6,0,-0.4222222222222223,0.001038169488310814,0.1422292198985815
bbob/16/24/1,16,24,30,0.36474689179361575,0.49697877861914713,22,7,1,-0.36111111111111116,0.026665616912217905,1.0
bbob/16/24/2,16,24,30,0.439043144122048,0.5662976112380164,22,8,0,-0.36,0.0050126127898693085,0.6466270498931408
bbob/16/3/0,16,3,30,0.28531421957962094,0.3311134991279558,17,13,0,-0.07999999999999996,0.5561132747679949,1.0
bbob/16/3/1,16,3,30,0.4900222748704605,0.5189345837342919,18,12,0,-0.06888888888888889,0.583757072687149,1.0
bbob/16/3/2,16,3,30,0.3523393554822999,0.5111391899431311,21,9,0,-0.3933333333333333,0.001718590036034584,0.22857247479259968
bbob/16/4/0,16,4,30,0.37930680262670785,0.42165501115057785,17,13,0,-0.15333333333333332,0.5291051845997572,1.0
bbob/16/4/1,16,4,30,0.3802487788863966,0.39056933370348207,16,14,0,-0.0377777777777778,0.8552717231214046,1.0
bbob/16/4/2,16,4,30,0.5346293921074957,0.579940788993801,16,14,0,-0.08666666666666667,0.23665234446525574,1.0
bbob/16/5/0,16,5,30,0.6286789210358419,0.4818036172864673,9,21,0,0.3688888888888888,0.008705463260412216,1.0
bbob/16/5/1,16,5,30,0.5440344158393038,0.4767660739139258,12,18,0,0.21111111111111103,0.15794767439365387,1.0
bbob/16/5/2,16,5,30,0.5395008380806127,0.47878034357934085,12,18,0,0.15555555555555545,0.13473508320748806,1.0
bbob/16/6/0,16,6,30,0.35636011144881047,0.33815030972583954,15,15,0,0.05555555555555558,0.8393927440047264,1.0
bbob/16/6/1,16,6,30,0.13591172487370365,0.13923702295524498,16,14,0,0.03333333333333344,0.7765688337385654,1.0
bbob/16/6/2,16,6,30,0.38227435746992106,0.4070525966718518,17,13,0,-0.06000000000000005,0.6554384250193834,1.0
bbob/16/7/0,16,7,30,0.44956837322913873,0.5221891334664707,16,14,0,-0.14888888888888885,0.338741784915328,1.0
bbob/16/7/1,16,7,30,0.4588535008300908,0.5051489312376563,18,12,0,-0.12444444444444447,0.46454504504799843,1.0
bbob/16/7/2,16,7,30,0.42610384536888535,0.38055546503829746,14,16,0,0.0,0.4521643426269293,1.0
bbob/16/8/0,16,8,30,0.190488382555326,0.26203332840550597,18,12,0,-0.3911111111111111,0.0635564886033535,1.0
bbob/16/8/1,16,8,30,0.38033902486820187,0.39682334966043004,18,12,0,-0.05111111111111111,0.6408254038542509,1.0
bbob/16/8/2,16,8,30,0.33631241693960984,0.3658101531675417,15,15,0,-0.02444444444444449,0.7303419969975948,1.0
bbob/16/9/0,16,9,30,0.2870914804597659,0.3838615880326458,19,10,1,-0.3122222222222222,0.08560627067312218,1.0
bbob/16/9/1,16,9,30,0.40287442334519297,0.4435933288057419,14,16,0,-0.0888888888888889,0.4771064817905426,1.0
bbob/16/9/2,16,9,30,0.41637577769007245,0.45357818628723273,15,15,0,-0.10666666666666669,0.42795460671186447,1.0
bbob/32/1/0,32,1,30,0.4414889674089971,0.3830355822614184,11,19,0,0.19777777777777783,0.15794767439365387,1.0
bbob/32/1/1,32,1,30,0.571975941817859,0.5776796342864098,16,14,0,-0.01777777777777778,0.7765688337385654,1.0
bbob/32/1/2,32,1,30,0.6483813764062987,0.578177457335573,9,21,0,0.26222222222222213,0.11417667381465435,1.0
bbob/32/10/0,32,10,30,0.4985079637934814,0.41644632204098675,12,18,0,0.19555555555555548,0.15794767439365387,1.0
bbob/32/10/1,32,10,30,0.3407462412906455,0.2958094312936378,14,16,0,0.06000000000000005,0.5158484429121017,1.0
bbob/32/10/2,32,10,30,0.46140502238245057,0.3940689341598825,13,17,0,0.10000000000000009,0.28936620615422726,1.0
bbob/32/11/0,32,11,30,0.061575693243251156,0.23169407470958125,23,3,4,-0.5466666666666666,0.0002955017562843789,0.04137024587981305
bbob/32/11/1,32,11,30,0.03414134222032352,0.10906202948977291,21,8,1,-0.4411111111111111,0.005107023356755971,0.6536989896647643
bbob/32/11/2,32,11,30,0.026110262207202365,0.1124180253308776,19,8,3,-0.37444444444444447,0.005729472399915602,0.7276429947892814
bbob/32/12/0,32,12,30,0.46164384442992135,0.39234651623386774,15,15,0,0.13111111111111118,0.6408254038542509,1.0
bbob/32/12/1,32,12,30,0.30750181397132886,0.3407723994301754,16,14,0,-0.12222222222222223,0.4521643426269293,1.0
bbob/32/12/2,32,12,30,0.4977722500381591,0.4477257958399102,11,19,0,0.15999999999999992,0.40449450351297855,1.0
bbob/32/13/0,32,13,30,0.5533900742395024,0.587243469471565,16,14,0,-0.07333333333333336,0.5291051845997572,1.0
bbob/32/13/1,32,13,30,0.5613181356592344,0.4970121150825747,11,19,0,0.1644444444444444,0.23665234446525574,1.0
bbob/32/13/2,32,13,30,0.585391167547041,0.47092889928150505,13,17,0,0.24222222222222212,0.0635564886033535,1.0
bbob/32/14/0,32,14,30,0.4327371353047894,0.4276740774851178,14,16,0,0.08666666666666667,0.9032264724373817,1.0
bbob/32/14/1,32,14,30,0.47044010864265734,0.4667667863779104,16,13,1,0.03222222222222215,0.8372436745517969,1.0
bbob/32/14/2,32,14,30,0.5942581564999181,0.4975057947372752,10,20,0,0.21999999999999997,0.13473508320748806,1.0
bbob/32/15/0,32,15,30,0.44526452072236083,0.40198339815231066,12,18,0,0.1333333333333333,0.308520769700408,1.0
bbob/32/15/1,32,15,30,0.5108152188611481,0.442063152307365,14,16,0,0.14444444444444438,0.338741784915328,1.0
