task,dimension,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/16/16/2,16,30,0.5131350605907677,0.5913596534418635,20,9,1,-0.20111111111111113,0.10719531018553868,1.0
bbob/16/17/0,16,30,0.3547105013971083,0.5251173041854604,21,9,0,-0.4622222222222222,0.0005054883658885956,0.051054324954748154
bbob/16/17/1,16,30,0.432900833258678,0.6065736148875851,23,7,0,-0.5244444444444445,0.0027663204818964005,0.21969025376869755
bbob/16/17/2,16,30,0.3467214509631397,0.5663916174412084,24,6,0,-0.4755555555555555,0.00031275488436222076,0.03377752751111984
bbob/16/18/0,16,30,0.29249183539662754,0.5296475025201759,25,5,0,-0.5711111111111111,3.453157842159271e-05,0.004281915724277496
bbob/16/18/1,16,30,0.37539530217698763,0.5704222063098181,23,4,3,-0.5055555555555555,0.0007052632543947224,0.06770527242189335
bbob/16/18/2,16,30,0.33875481247165223,0.5481185833941943,23,4,3,-0.5211111111111111,0.00016199305378074129,0.017981228969662283
bbob/16/19/0,16,30,0.34356878077664355,0.6176377965809576,26,3,1,-0.7366666666666667,7.2296055077611124e-06,0.0009470783215167057
bbob/16/19/1,16,30,0.2339189311729277,0.5286928890754852,25,5,0,-0.7422222222222222,1.991167664527893e-06,0.00027478113770484924
bbob/16/19/2,16,30,0.2890922192062287,0.5036867347367859,25,5,0,-0.5711111111111111,0.00016989745199680328,0.01868871971964836
bbob/16/2/0,16,30,0.289378238507202,0.3848809748135486,17,13,0,-0.35111111111111115,0.10943205840885639,1.0
bbob/16/2/1,16,30,0.23314434540901155,0.4108936320460192,25,4,1,-0.5855555555555556,0.00013536081360538934,0.015295771937408996
bbob/16/2/2,16,30,0.24764351151358446,0.3206024218752464,22,8,0,-0.3422222222222222,0.052263347432017326,1.0
bbob/16/20/0,16,30,0.25125889157812864,0.3895290221777864,20,10,0,-0.35777777777777775,0.007612137123942375,0.5252374615520239
bbob/16/20/1,16,30,0.3645331455193179,0.5941050509255646,21,9,0,-0.5644444444444445,0.0003800932317972183,0.04028988257050514
bbob/16/20/2,16,30,0.3645893407000666,0.582747198783597,23,7,0,-0.5844444444444444,0.00011058151721954346,0.012938037514686584
bbob/16/21/0,16,30,0.7647323816272795,0.8159329012258443,19,11,0,-0.12444444444444447,0.11907656863331795,1.0
bbob/16/21/1,16,30,0.6246155229701336,0.6765720383113185,22,7,1,-0.27222222222222225,0.050359261177925704,1.0
bbob/16/21/2,16,30,0.6071355860577458,0.7225816934392273,21,9,0,-0.2733333333333333,0.022098854184150696,1.0
