approach,rf_config,global_spearman_true,global_spearman_resid,global_log_pearson_true,global_mse_var,global_rmse_var,global_nlpd_aleatoric,id_only_spearman_true,id_only_spearman_resid,id_only_log_pearson_true,id_only_mse_var,id_only_rmse_var,id_only_nlpd_aleatoric,ood_only_spearman_true,ood_only_spearman_resid,ood_only_log_pearson_true,ood_only_mse_var,ood_only_rmse_var,ood_only_nlpd_aleatoric,ood_id_variance_ratio
shaker_geom_var,RF_DeepEnsemble300,0.4598860979907406,0.2708127643379339,0.4447611771845538,0.009183804749461694,0.0577617867718205,0.10758870803651213,0.48357172506375556,0.2700521389562432,0.47775591746222,0.002252173097614264,0.0363505866501946,-0.041278506196665586,0.02385416348266132,0.07662450474174722,0.02555961080722804,0.036914150174946384,0.09390705866160907,0.6987070965300564,1.1395200430495236
shaker_geom_var,RF_Default,0.47728061978969205,0.2892521110710647,0.4781872990417246,0.009581300662987317,0.06308225988757778,0.11529491437735541,0.5064073216197132,0.2896658313444043,0.5141437720681457,0.0027970829495406473,0.04217693918557942,-0.04715482844132921,0.03440713478906835,0.0907416609837952,0.03526583843624995,0.036721909052981234,0.0966245102089811,0.7607585647309792,1.1766103086163868
shaker_geom_var,RF_Overfit_Leaf1,0.3147554352424818,0.1922571730012439,0.3142690849720701,0.030781659958481603,0.1283769948787728,162.4491558628118,0.32881220109183734,0.19620115108988354,0.33174674873737836,0.017890493651765732,0.10469753348820557,135.21710521612087,0.02040257252647988,0.04343793449592782,0.021066548109523926,0.08230295473087954,0.16001866027921738,270.95673124196543,1.0179108657976261
shaker_geom_var,RF_Shallow,0.34925390785660027,0.21853610104098928,0.3152018057941038,0.013105829582061163,0.07350564636074217,0.20247188208598962,0.3674255177047544,0.21905559469979538,0.33454067041757496,0.004835549723106394,0.05196806533889623,0.05529663685813896,0.004037084375135479,0.0808285588682657,0.004711367129271893,0.04618553716180748,0.1115486236003713,0.7875126443869851,1.019096947703999
shaker_geom_var,RF_Smoothed_Leaf15,0.4791381739968083,0.29018378432647285,0.4756693572867552,0.007114106043693114,0.050769715715012466,0.062379319260583925,0.5106426430755323,0.29218132607270914,0.5156907322011279,0.0014322001093404766,0.02982657712050456,-0.07484226054707666,0.028364374089029292,0.09995025545494939,0.028739392415180795,0.029842508693068894,0.08597757917304084,0.6073099127171326,1.1480668222865449
standard_ari_std,RF_DeepEnsemble300,0.4615272014835028,0.2728935662527412,0.4414860904052407,0.037745610017811945,0.18585447595579097,0.35788952143182795,0.4826226057753158,0.270563484709109,0.4727256665801068,0.037358023296949,0.18507548550234312,0.32817753515819004,0.02584444262506744,0.08117950280768581,0.02673847160190763,0.03930027020237063,0.18703043430574698,0.47633906733389797,1.0554270704061557
standard_ari_std,RF_Default,0.4720180176247982,0.2865517319978904,0.4716812984292525,0.029272218323789657,0.1638702223022413,0.3127214392652252,0.49540803772000636,0.28477672822120603,0.5018173196590809,0.029152990069205163,0.16370604034019745,0.28327123943762256,0.03269708622417321,0.09161748338263112,0.03370918096701547,0.029752461973468657,0.16198568976779976,0.43012360598311933,1.0645375024804724
standard_ari_std,RF_Overfit_Leaf1,0.432362752254941,0.268896195928104,0.4331226748930374,0.018797648077851812,0.131076564731234,0.25467421396219314,0.44876318562762807,0.2671572929300616,0.45551691629732266,0.01719376531151399,0.12643208503733647,0.219711872072071,0.03710205522150134,0.07007834554926065,0.03772980514644617,0.025211402259544515,0.14185520629798715,0.394024554691924,1.0652717791438648
standard_ari_std,RF_Shallow,0.34785488991715796,0.218657712426471,0.31065613902688044,0.05367289264395117,0.21845228137317899,0.42783820371183146,0.3635040424556914,0.2181371137479195,0.32765044371437235,0.05222696447683242,0.21575151011693863,0.39084563541627027,0.004444549312917957,0.08131295103594384,0.004899443705328673,0.059465539869660695,0.22631323815502805,0.5753878360218847,1.0088954720357297
standard_ari_std,RF_Smoothed_Leaf15,0.4750789669991092,0.28742057468599364,0.4714093808375951,0.03596248200980805,0.18141405379523318,0.34740362094655913,0.5021712296953791,0.28767242850289687,0.5063964318014937,0.03630654900877044,0.182455484832064,0.317331111123138,0.027417937637707442,0.09724957847862015,0.02775195881617359,0.034591109201619286,0.17504371473478003,0.4672729986342856,1.0556874660497595
