approach,noise_name,global_spearman_true,global_spearman_resid,global_log_pearson_true,global_mse_var,global_rmse_var,global_nlpd_aleatoric,id_only_spearman_true,id_only_spearman_resid,id_only_log_pearson_true,id_only_mse_var,id_only_rmse_var,id_only_nlpd_aleatoric,ood_only_spearman_true,ood_only_spearman_resid,ood_only_log_pearson_true,ood_only_mse_var,ood_only_rmse_var,ood_only_nlpd_aleatoric,ood_id_variance_ratio
shaker_geom_std,hetero_quadratic,0.7778563167236127,0.40461605186546057,0.7517602499942735,0.027553667998780212,0.15324973284110127,0.34253910926707626,0.8186348908916812,0.416455081584965,0.7732794949103432,0.027496122720014355,0.15476926987275638,0.39138962896730595,0.005078027540990512,0.1348640767409243,0.00606029643855403,0.02780207381812238,0.13970598662370015,0.14597378635024966,0.7193448127491994
shaker_geom_std,hetero_sinusoidal,0.4334993260147,0.18452491387526815,0.4235694664807001,0.029663164969035885,0.1576397300528811,0.37877388759079733,0.5817296915450538,0.2263329459495784,0.6028650425429308,0.027444356308782437,0.1522813024367822,0.3948857813374029,0.008274155838944756,0.1001442900662767,0.009380608881015452,0.03854372105845692,0.17376619623496872,0.3136666379349254,0.997231230285556
shaker_geom_std,homoscedastic_high,0.0,0.01276294461863166,0.0,0.05326878979709646,0.2281177394650958,1.640414711266057,0.0,0.012542519140484456,0.0,0.053207744288152774,0.2280114592286913,1.6161355709172889,0.0,0.01175664601053403,0.0,0.05350819335808972,0.22823719272001403,1.7373354708894513,0.9935684166941319
shaker_geom_std,homoscedastic_low,0.0,0.10911835176450342,0.0,0.013421063828493007,0.0952640310678202,-0.1270559589904187,0.0,0.09590292530851559,0.0,0.013383728076854203,0.09511207404653851,-0.17980707340777363,0.0,0.14273274717087672,0.0,0.013570857623920397,0.09560457222150502,0.08253984220232578,1.0012039679934317
shaker_geom_var,hetero_linear,0.8627327924989691,0.4208706492928808,0.802862455448644,0.006405457186619285,0.06922042292662496,34.70413869227532,0.8763118193941319,0.46850674473882026,0.8346840246998893,0.007316014220565229,0.07390848736797574,32.39496034712023,0.14897782258679879,0.05491891050232739,0.15018566653008356,0.002766244565737833,0.043855247576634726,43.906784215581965,0.7864214025911189
shaker_geom_var,hetero_localized,0.8431696865526868,0.5387136214554022,0.8641759271642556,0.07184753812578254,0.26129030902283695,50.73309371774698,0.798926770146963,0.4583753169973705,0.8326004150878625,0.01409343156380197,0.11207901899224842,29.9227967597778,-0.006838544999410009,0.0066883717957657044,-0.004146712193216623,0.3028056123128205,0.5381077169736584,133.88757984278905,2.414785281413159
shaker_geom_var,hetero_ood_step_double,-0.00481819296311624,0.09485217441663968,-0.0030438850969826538,0.0005585946686091822,0.019208046823355994,21.752863397800514,0.0,0.09590292530851559,0.0,0.00044275269036388274,0.011142171332583682,12.165069074731933,0.0,0.09711103807585464,0.0,0.0010210000352380943,0.030183562077208525,59.97629925127731,1.0054293136970935
shaker_geom_var,hetero_quadratic,0.7778563167236127,0.40461605186546057,0.7517602499942735,0.002407252367645534,0.0435422127548679,25.920819471161153,0.8186348908916812,0.416455081584965,0.7732794949103432,0.0026127631427472777,0.04534207561005586,24.547345598547015,0.005078027540990512,0.1348640767409243,0.006060296438554039,0.00158704012104471,0.027257172782758847,31.244455884178226,0.515768477969827
shaker_geom_var,hetero_sinusoidal,0.4334993260147,0.18452491387526815,0.4235694664807001,0.0015738254810797926,0.036040027448924775,24.045135448587747,0.5817296915450538,0.2263329459495784,0.6028650425429308,0.0015204417065253421,0.03480709716271812,24.513756907535633,0.008274155838944756,0.1001442900662767,0.009380608881015471,0.001788354025142102,0.03566796577720723,22.111471332096592,0.9862615051073677
shaker_geom_var,homoscedastic_high,0.0,0.01276294461863166,0.0,0.014435593675114792,0.08240158103501571,54.937847821911994,0.0,0.012542519140484456,0.0,0.014462343329546932,0.08260656069856703,53.44377899846697,0.0,0.01175664601053403,0.0,0.01433097214410465,0.08106562364754875,60.89956380990372,0.9875916879600531
shaker_geom_var,homoscedastic_low,0.0,0.10911835176450342,0.0,0.0004451198905077199,0.011192365047869645,16.01774841171743,0.0,0.09590292530851559,0.0,0.00044275269036388274,0.011142171332583682,12.165069074731933,0.0,0.14273274717087672,0.0,0.00045466053506903537,0.011169715857491103,31.309272908636,1.0054293136970935
standard_ari_std,hetero_linear,0.9102398033603267,0.4415066237394297,0.8400250449279895,0.0423085179379167,0.20023610656138616,0.47687584573912545,0.9126898332663381,0.4853571142230114,0.8669920784643185,0.04220330238428712,0.1996797811147815,0.46708165594625434,0.17747263569530272,0.057846824502397226,0.17782929967638117,0.04272084387215,0.20177857562158627,0.5158210774946909,0.943733876307329
standard_ari_std,hetero_localized,0.8723193054859012,0.5592381019572603,0.9014048513666707,0.049115898922464284,0.2171554144187907,0.6224993814240727,0.8124946252180527,0.47160245379445725,0.8602305931355878,0.045932736535903934,0.2082161183092116,0.44477288023188793,-0.0018178667198568354,0.008672893383432429,0.000951810159502721,0.06185759111692907,0.24016346383415535,1.3326687368161554,1.6893574195886432
standard_ari_std,hetero_ood_step_double,-0.004304579181995522,0.10227016924206862,-0.0030934836291301978,0.015431949701345175,0.11199945636267296,-0.0394016669214815,0.0,0.1027699632825564,0.0,0.01665000468070507,0.1171180816593714,-0.08559993945237458,0.0,0.10118434107958851,0.0,0.010561865208025201,0.08753845462945321,0.14468034213895156,1.0069798250954574
