task,dimension,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/16/20/1,16,30,0.31769329049582556,0.5666009613193475,26,4,0,-0.6688888888888889,3.855675458908081e-07,4.7810375690460205e-05
bbob/16/20/2,16,30,0.27132667179697434,0.4957143554212881,24,6,0,-0.5733333333333333,3.453157842159271e-05,0.002900652587413788
bbob/16/21/0,16,30,0.6513901527220122,0.8209478390037657,25,5,0,-0.5755555555555556,9.90256667137146e-05,0.007030822336673737
bbob/16/21/1,16,30,0.6459270394332413,0.7193892998722636,23,7,0,-0.30222222222222217,0.008142979815602303,0.2768613137304783
bbob/16/21/2,16,30,0.6480805812738019,0.812865182887702,23,7,0,-0.40222222222222226,0.0015832837671041489,0.07599762082099915
bbob/16/22/0,16,30,0.7665960216546112,0.7901286986714907,19,11,0,-0.19333333333333336,0.28008678182959557,1.0
bbob/16/22/1,16,30,0.6085793810441439,0.770982043456416,25,5,0,-0.5711111111111111,5.5925920605659485e-05,0.004418147727847099
bbob/16/22/2,16,30,0.6360694015432239,0.772470546525306,24,6,0,-0.3911111111111111,2.0798295736312866e-05,0.001851048320531845
bbob/16/23/0,16,30,0.6441948694293061,0.5618508502777977,5,16,9,0.20333333333333337,0.0228085645428799,0.5017884199433578
bbob/16/23/1,16,30,0.4695697285070641,0.6008641594626638,20,7,3,-0.3522222222222222,0.01628343898983998,0.42336941373583953
bbob/16/23/2,16,30,0.443778934935672,0.4775497140963029,13,11,6,-0.09999999999999998,0.5110890641174397,1.0
bbob/16/24/0,16,30,0.4958500604862049,0.6614282636161904,25,5,0,-0.5066666666666666,7.910653948783875e-05,0.005932990461587906
bbob/16/24/1,16,30,0.42992046348931345,0.6334280334915992,26,4,0,-0.6,5.144625902175903e-06,0.0005401857197284698
bbob/16/24/2,16,30,0.3465497061725805,0.562405702838566,25,5,0,-0.5155555555555555,8.856505155563354e-05,0.006553813815116882
bbob/16/3/0,16,30,0.2500400170523338,0.4868798857279716,29,1,0,-0.7977777777777778,2.551823854446411e-07,3.240816295146942e-05
bbob/16/3/1,16,30,0.33751305052667147,0.5319536437755966,21,9,0,-0.5111111111111111,0.0006084088236093521,0.03224566765129566
bbob/16/3/2,16,30,0.3631248548362632,0.5630199259753186,25,5,0,-0.4488888888888889,4.968419671058655e-05,0.003974735736846924
bbob/16/4/0,16,30,0.23138853203764956,0.46906560722329377,24,6,0,-0.6288888888888888,1.0609626770019531e-05,0.0010079145431518555
bbob/16/4/1,16,30,0.2503349953808845,0.4353828066649161,22,8,0,-0.5066666666666666,0.0027663204818964005,0.11895178072154522
bbob/16/4/2,16,30,0.4376447318524986,0.5097035871312254,17,13,0,-0.23777777777777775,0.3284698575735092,1.0
bbob/16/5/0,16,30,0.23928960732669852,0.6336089728470156,30,0,0,-0.9355555555555556,1.862645149230957e-09,2.682209014892578e-07
bbob/16/5/1,16,30,0.23493967454279183,0.6139166974324832,30,0,0,-0.9355555555555556,1.862645149230957e-09,2.682209014892578e-07
bbob/16/5/2,16,30,0.1661491154661114,0.5778982772996762,28,2,0,-0.9422222222222222,9.313225746154785e-09,1.2665987014770508e-06
bbob/16/6/0,16,30,0.13530114945004096,0.5809612707438979,27,3,0,-0.8733333333333333,6.146728992462158e-08,8.052214980125427e-06
bbob/16/6/1,16,30,0.08300230461400454,0.3300127843980893,26,4,0,-0.6311111111111112,0.0004183966666460037,0.023011816665530205
bbob/16/6/2,16,30,0.17560554153960545,0.47284466478057596,26,4,0,-0.7911111111111111,1.30385160446167e-07,1.695007085800171e-05
bbob/16/7/0,16,30,0.25049763150005055,0.4574895241457614,25,5,0,-0.5711111111111111,7.056817412376404e-05,0.005433749407529831
bbob/16/7/1,16,30,0.2437411674757127,0.4332712569420803,25,5,0,-0.6377777777777778,1.0609626770019531e-05,0.0010079145431518555
bbob/16/7/2,16,30,0.36633888407609444,0.616361035103732,26,4,0,-0.5888888888888889,9.98377799987793e-07,0.0001138150691986084
bbob/16/8/0,16,30,0.22463376919125722,0.36576564539136247,22,8,0,-0.4066666666666666,0.008142979815602303,0.2768613137304783
bbob/16/8/1,16,30,0.23741704526621268,0.3742407278749034,22,8,0,-0.4377777777777778,0.006639536470174789,0.23902331292629242
bbob/16/8/2,16,30,0.2072595149102491,0.5322925685493068,28,2,0,-0.7466666666666666,1.6391277313232422e-07,2.09808349609375e-05
bbob/16/9/0,16,30,0.25525337168984225,0.5000478043839314,24,5,1,-0.63,2.364745945098838e-05,0.002057328972235989
bbob/16/9/1,16,30,0.17559291300971533,0.3705596020148023,24,5,1,-0.5122222222222222,0.0002085902932042624,0.012515417592255744
bbob/16/9/2,16,30,0.2171709145009518,0.41795209943700884,26,3,1,-0.5922222222222222,9.50124893198109e-05,0.006840899231026385
bbob/32/1/0,32,30,0.28317557074756405,0.5963170627173314,30,0,0,-0.8688888888888888,1.862645149230957e-09,2.682209014892578e-07
bbob/32/1/1,32,30,0.35972332747258695,0.6856830978564731,28,2,0,-0.76,9.98377799987793e-07,0.0001138150691986084
bbob/32/1/2,32,30,0.3613687181439523,0.6254768205869561,24,6,0,-0.6777777777777778,2.348795533180237e-06,0.00025836750864982605
bbob/32/10/0,32,30,0.3308731576042843,0.4724587971527372,22,7,1,-0.38555555555555554,0.0038930850466589546,0.14793723177304027
bbob/32/10/1,32,30,0.3242173217921709,0.549828554862323,24,6,0,-0.5622222222222222,9.90256667137146e-05,0.007030822336673737
bbob/32/10/2,32,30,0.27623577670088395,0.40722434062727847,19,11,0,-0.3422222222222222,0.015460003167390823,0.41973209535681855
bbob/32/11/0,32,30,0.05324860226392759,0.12958318242816536,16,7,7,-0.27222222222222225,0.051587867206812466,0.9285816097226244
bbob/32/11/1,32,30,0.07699256449227668,0.10860849955775581,18,8,4,-0.28222222222222226,0.09122604398406978,1.0
bbob/32/11/2,32,30,0.010579255231221737,0.054870880820884954,16,9,5,-0.1988888888888889,0.115474887760127,1.0
bbob/32/12/0,32,30,0.2587268607392146,0.5183115210530834,25,5,0,-0.62,2.366676926612854e-05,0.002057328972235989
bbob/32/12/1,32,30,0.2716510621792097,0.5399456184742719,24,6,0,-0.6111111111111112,9.220093488693237e-06,0.0009035691618919373
bbob/32/12/2,32,30,0.23659925716922428,0.47398776134675963,27,3,0,-0.6244444444444445,5.718320608139038e-07,6.919167935848236e-05
bbob/32/13/0,32,30,0.44045401073258283,0.6666895079033515,25,5,0,-0.6333333333333333,1.1920928955078125e-06,0.000133514404296875
bbob/32/13/1,32,30,0.41907901734980174,0.671345266679777,26,4,0,-0.6,3.049522638320923e-05,0.0025920942425727844
bbob/32/13/2,32,30,0.45031103272085793,0.6711064548357654,28,1,1,-0.6677777777777778,1.3181208948734449e-05,0.0012126712232835694
bbob/32/14/0,32,30,0.3772523402976859,0.6232980247018639,25,5,0,-0.5688888888888889,1.597777009010315e-05,0.0014379993081092834
bbob/32/14/1,32,30,0.370535646503751,0.5030545093728855,21,9,0,-0.3977777777777778,0.0027663204818964005,0.11895178072154522
bbob/32/14/2,32,30,0.2139315410609368,0.40482657047667103,25,5,0,-0.5777777777777777,8.856505155563354e-05,0.006553813815116882
bbob/32/15/0,32,30,0.30712477313619824,0.572626917440729,26,4,0,-0.6422222222222222,9.90256667137146e-05,0.007030822336673737
bbob/32/15/1,32,30,0.3289266897301722,0.5774349210097345,27,3,0,-0.6222222222222222,8.326023817062378e-07,9.658187627792358e-05
bbob/32/15/2,32,30,0.34363410360903085,0.5761299069691697,24,6,0,-0.5577777777777777,6.286613643169403e-05,0.004903558641672134
bbob/32/16/0,16,30,0.4456561394274398,0.5455548649750853,19,9,2,-0.29555555555555557,0.01900379037783669,0.46323700807988644
