iteration,config_id,optimizer_id,k,decay_lambda,eps,loss_normalized_regret
87,cfg_087,SMAC20_ProximityLCB_iter087,28,0.2048673607452,0.0807919426431,0.013378455520501407
88,cfg_088,SMAC20_ProximityLCB_iter088,30,0.6449871379111,0.1227826662614,0.01884680135525817
89,cfg_089,SMAC20_ProximityLCB_iter089,6,1.5237286056542,0.0786616827208,0.020523165080467032
90,cfg_090,SMAC20_ProximityLCB_iter090,30,0.6457796610439,0.1227035608851,0.07538078561004526
91,cfg_091,SMAC20_ProximityLCB_iter091,30,0.6480307398132,0.1230576999907,0.021133091183174482
92,cfg_092,SMAC20_ProximityLCB_iter092,22,1.9546745764869,0.1563315334073,0.015865080118022307
93,cfg_093,SMAC20_ProximityLCB_iter093,18,0.456766896831,0.1226240510234,0.014180785087082447
94,cfg_094,SMAC20_ProximityLCB_iter094,22,0.456766896831,0.1225384652424,0.018168879316946336
95,cfg_095,SMAC20_ProximityLCB_iter095,30,0.2019036518801,0.0548109127666,0.024610295107055417
96,cfg_096,SMAC20_ProximityLCB_iter096,30,0.2000885849634,0.0549292902494,0.017253594444454873
97,cfg_097,SMAC20_ProximityLCB_iter097,26,0.6567217036545,0.0568991018597,0.027200091858209
98,cfg_098,SMAC20_ProximityLCB_iter098,30,0.2068993816558,0.0549782186213,0.02006062893158958
99,cfg_099,SMAC20_ProximityLCB_iter099,30,0.2018835564176,0.0548884392814,0.021172359008315062
100,cfg_100,SMAC20_ProximityLCB_iter100,26,0.2053449251283,0.1633333885579,0.021596378376929463
