task,optimizer,optimizer_name,seed,n_trials,final_incumbent_regret,best_y_true,mean_eval_time
ackley_2d,baseline,SMAC3 Baseline (EI),18,50,0.7779625555367073,0.7779625555367073,0.0005356359481811523
ackley_2d,baseline,SMAC3 Baseline (EI),19,50,3.605851712041986,3.605851712041986,0.0005268526077270508
ackley_2d,baseline,SMAC3 Baseline (EI),20,50,0.4687053452738934,0.4687053452738934,0.0005890750885009766
ackley_2d,baseline,SMAC3 Baseline (EI),21,50,3.585933798791015,3.585933798791015,0.0005421924591064453
ackley_2d,baseline,SMAC3 Baseline (EI),22,50,2.9413553137143116,2.9413553137143116,0.0005262374877929687
ackley_2d,baseline,SMAC3 Baseline (EI),23,50,0.7661090225448004,0.7661090225448004,0.0005809497833251953
ackley_2d,baseline,SMAC3 Baseline (EI),24,50,2.8068611987387553,2.8068611987387553,0.0005701875686645508
ackley_2d,baseline,SMAC3 Baseline (EI),25,50,3.688039223460603,3.688039223460603,0.0005688905715942383
ackley_2d,baseline,SMAC3 Baseline (EI),26,50,3.6524442215663027,3.6524442215663027,0.0004946279525756836
ackley_2d,baseline,SMAC3 Baseline (EI),27,50,2.5862628768947578,2.5862628768947578,0.0005829954147338868
ackley_2d,baseline,SMAC3 Baseline (EI),28,50,0.15424054846214164,0.15424054846214164,0.0005803489685058593
ackley_2d,baseline,SMAC3 Baseline (EI),29,50,2.6048425204711276,2.6048425204711276,0.0005534648895263672
ackley_2d,baseline,SMAC3 Baseline (EI),30,50,0.6808028711922387,0.6808028711922387,0.0006075859069824219
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,1,50,0.48523048654971435,0.48523048654971435,0.0005750989913940429
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,2,50,1.8779270779112776,1.8779270779112776,0.0005909872055053711
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,3,50,3.653260089564633,3.653260089564633,0.000565485954284668
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,4,50,2.233854735528887,2.233854735528887,0.000555267333984375
ackley_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,5,50,2.2053292876029507,2.2053292876029507,0.0005568027496337891
