task,optimizer,optimizer_name,seed,trial,cost,y_true,sigma_true,instantaneous_regret,incumbent_regret,noise_residual,time,config
ackley_2d,baseline,SMAC3 Baseline (EI),1,34,6.262228675572237,6.010426308416225,0.31672237215304944,6.010426308416225,3.6595528885444293,0.25180236715601145,0.0006811618804931641,"[0.936348175818, -1.4317824273212]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,35,5.926227769066605,6.0146043125680535,0.31692059351185364,6.0146043125680535,3.6595528885444293,-0.08837654350144859,0.0006575584411621094,"[0.9303795699263, -1.4329806116795]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,36,3.8006603099569083,3.7337400073070275,0.21178299295602732,3.7337400073070275,3.6595528885444293,0.06692030264988086,0.0007390975952148438,"[0.9075217373036, -1.0192807812334]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,37,3.672743423533748,3.617753254172016,0.20668900919057243,3.617753254172016,3.617753254172016,0.054990169361732164,0.0006165504455566406,"[0.9436713259328, -1.0003368110388]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,38,3.8947536554535143,3.703513262135339,0.2104519570045165,3.703513262135339,3.617753254172016,0.19124039331817552,0.0004718303680419922,"[0.9011889499381, -0.9965642562573]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,39,10.95750289180702,11.871602326068736,0.6019446440253469,11.871602326068736,3.617753254172016,-0.914099434261716,0.00032973289489746094,"[-4.4435702767695, -1.7776866522237]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,40,8.545497176725625,8.751583365586923,0.44886025499262505,8.751583365586923,3.617753254172016,-0.20608618886129718,0.0003972053527832031,"[-1.7729038296778, 3.013218862789]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,41,12.338655683319265,12.143553755955173,0.615357412045579,12.143553755955173,3.617753254172016,0.19510192736409165,0.0005514621734619141,"[-1.4267114290528, -4.5628778771983]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,42,3.3477558829626255,3.7339763393442955,0.21179340938036192,3.7339763393442955,3.617753254172016,-0.38622045638167013,0.0007064342498779297,"[0.8973767523566, -1.0069442415208]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,43,13.941560581153754,13.397813433399243,0.6773134518008874,13.397813433399243,3.617753254172016,0.5437471477545104,0.0006649494171142578,"[3.4660279092838, 4.7497371213196]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,44,3.6986151321140737,3.762836791220416,0.21306654311131276,3.762836791220416,3.617753254172016,-0.06422165910634234,0.0008399486541748047,"[0.8958450252912, -1.0172708508556]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,45,3.8769740654690863,3.744714680449786,0.21226686056692967,3.744714680449786,3.617753254172016,0.1322593850193003,0.0006906986236572266,"[0.8973767523566, -1.0118230797693]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,46,4.818802606889599,4.671272672215359,0.2540707990806205,4.671272672215359,3.617753254172016,0.14752993467423992,0.0006015300750732422,"[0.5061214802753, -1.0096757434656]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,47,4.586895908378483,4.656646944778135,0.25339870149781524,4.656646944778135,3.617753254172016,-0.06975103639965251,0.0006039142608642578,"[0.4892084092808, -1.0114359081865]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,48,4.237540397181928,4.655960552881073,0.25336716771310674,4.655960552881073,3.617753254172016,-0.4184201556991446,0.00043582916259765625,"[0.4897490746629, -1.0108643531502]"
ackley_2d,baseline,SMAC3 Baseline (EI),1,49,4.626737212910574,4.6329583400709,0.2523108349874838,4.6329583400709,3.617753254172016,-0.006221127160325823,0.00035119056701660156,"[0.4754732132966, -1.0095010155709]"
