dim,gap_type,approach,auroc,fpr95,aupr,spearman,aurc,oracle_aurc,jsd,mi,nlpd,brier
7,empty,distance_evidential,0.4479220634920635,0.8726666666666667,0.2709784340523815,0.15361823241823244,0.21877523523384373,0.10282935402724801,0.1332352633455907,0.11952571802646283,0.9379855589038173,0.35166969091176337
7,empty,standard_disagreement,0.4928639682539683,0.8104761904761905,0.2997744913817956,0.12481788041788042,0.22176024582715803,0.10282935402724801,0.1636235038588046,0.14624409419786302,0.759030484122363,0.2674625290402763
7,sparse,distance_evidential,0.12692714285714285,0.9984285714285713,0.18456615633098444,0.28850862370862373,0.18509410125554562,0.09236206558785615,0.4709922877367571,0.45932735393611246,0.9058950689637868,0.3722004704476533
7,sparse,standard_disagreement,0.2694968253968254,0.9692380952380952,0.20938074044184055,0.25371243771243773,0.1867136014721845,0.09236206558785615,0.20879671996051138,0.19040942341771172,0.7091382402433855,0.29640024483737115
8,empty,distance_evidential,0.18432920634920638,0.9816666666666667,0.193393557730563,-0.10737518457518459,0.44838704918616734,0.15555758950299786,0.41586595285472766,0.39816305094984705,1.0899300063028186,0.38319031787199914
8,empty,standard_disagreement,0.2131526984126984,0.9751904761904763,0.20210190094731093,-0.1234831082831083,0.4514955648138133,0.15555758950299786,0.4026549158025873,0.3892237303289768,1.0439195164747996,0.3345581344343368
8,sparse,distance_evidential,0.06824063492063491,0.9997142857142857,0.17326230032306103,0.2909395005395005,0.19713403321499995,0.09765028095841134,0.610069306587112,0.6081648608253729,0.9363525025755396,0.4019140465529286
8,sparse,standard_disagreement,0.17371444444444445,0.9876190476190476,0.1887871405681983,0.266601811001811,0.19870489955538842,0.09765028095841134,0.3691924653568525,0.3636919393595493,0.7657636442824038,0.3510632626517451
9,empty,distance_evidential,0.2981726984126984,0.966,0.2153510991422709,0.02133325533325533,0.43002552131231914,0.1805815415815731,0.17631386343663408,0.16183190337298622,1.1598839170969562,0.3877989356612414
9,empty,standard_disagreement,0.346454126984127,0.9589523809523809,0.23143517119149004,0.022405630805630804,0.42626622161156347,0.1805815415815731,0.12930653713814763,0.11760989973614498,1.0790208841774613,0.3273677541519476
9,sparse,distance_evidential,0.1275477777777778,0.9998095238095238,0.18299935369238646,0.19011792131792132,0.30475795631520325,0.13834399141156128,0.4788163457209113,0.47729355294789344,1.070564640064264,0.4072252159021779
9,sparse,standard_disagreement,0.337108253968254,0.9792857142857143,0.2682724873612211,0.15549986909986913,0.3139135349414174,0.13834399141156128,0.22330642936362938,0.21062989902787682,0.9635259668599248,0.3322798763457471
10,empty,distance_evidential,0.3275465079365079,0.8871428571428571,0.22964885312132924,0.1275835087835088,0.29296114442188526,0.1444658147863069,0.27309157476645013,0.2485206087814157,1.0499774530828363,0.34930241085972746
10,empty,standard_disagreement,0.17388746031746033,0.9846666666666667,0.19238210981738943,-0.02597807052634303,0.320163984644315,0.1444658147863069,0.4631685405684915,0.4502619924660004,0.9095095446585487,0.34051595121551226
10,sparse,distance_evidential,0.016549365079365084,1.0,0.1689412340516677,0.33952507032507034,0.19367177499450886,0.09411003006434528,0.8543987707398412,0.854576477731649,0.9724718233424966,0.3961967622473492
10,sparse,standard_disagreement,0.09404888888888889,0.9966190476190476,0.17840536724973627,0.34035632035632035,0.18899307629002202,0.09411003006434528,0.5994171308443051,0.5854249274221529,0.774269181493479,0.3663242121969469
11,empty,distance_evidential,0.15700285714285714,0.9801428571428572,0.18419530023439284,0.21646323526323527,0.2633826229827445,0.0823914140933585,0.3486151374098621,0.32381504743691114,1.2947245400495404,0.2687189125135581
11,empty,standard_disagreement,0.1863209523809524,0.9885714285714287,0.18812612374734272,0.25185863745863746,0.2439664543971553,0.0823914140933585,0.29104039899581335,0.26811096316622457,1.2542416094923392,0.28052550896453426
11,sparse,distance_evidential,0.08785142857142858,1.0,0.17675582382896335,0.21721608601608602,0.2542349983629404,0.08350134419088327,0.5595456594801901,0.5729418262340946,1.2756175489043047,0.28857645745626337
11,sparse,standard_disagreement,0.33202000000000004,0.9755714285714285,0.2268328760925614,0.322793855993856,0.21608560315319097,0.08350134419088327,0.12593484871823898,0.11397838465703758,1.218726484022054,0.2572935671710884
